index,gene_id
737,ENSMUSG00000004661
738,ENSMUSG00000004665
739,ENSMUSG00000004667
740,ENSMUSG00000004668
741,ENSMUSG00000004677
742,ENSMUSG00000004698
743,ENSMUSG00000004707
744,ENSMUSG00000004709
745,ENSMUSG00000004730
746,ENSMUSG00000004748
747,ENSMUSG00000004768
748,ENSMUSG00000004771
749,ENSMUSG00000004788
750,ENSMUSG00000004789
751,ENSMUSG00000004791
752,ENSMUSG00000004798
753,ENSMUSG00000004814
754,ENSMUSG00000004815
755,ENSMUSG00000004821
756,ENSMUSG00000004837
757,ENSMUSG00000004842
758,ENSMUSG00000004843
759,ENSMUSG00000004846
760,ENSMUSG00000004849
761,ENSMUSG00000004864
762,ENSMUSG00000004865
763,ENSMUSG00000004872
764,ENSMUSG00000004880
765,ENSMUSG00000004885
766,ENSMUSG00000004891
767,ENSMUSG00000004892
768,ENSMUSG00000004894
769,ENSMUSG00000004895
770,ENSMUSG00000004896
771,ENSMUSG00000004897
772,ENSMUSG00000004902
773,ENSMUSG00000004929
774,ENSMUSG00000004931
775,ENSMUSG00000004933
776,ENSMUSG00000004934
777,ENSMUSG00000004936
778,ENSMUSG00000004937
779,ENSMUSG00000004939
780,ENSMUSG00000004945
781,ENSMUSG00000004947
782,ENSMUSG00000004948
783,ENSMUSG00000004951
784,ENSMUSG00000004952
785,ENSMUSG00000004961
786,ENSMUSG00000004980
787,ENSMUSG00000004988
788,ENSMUSG00000004994
789,ENSMUSG00000004996
790,ENSMUSG00000005034
791,ENSMUSG00000005043
792,ENSMUSG00000005045
793,ENSMUSG00000005054
794,ENSMUSG00000005057
795,ENSMUSG00000005069
796,ENSMUSG00000005078
797,ENSMUSG00000005087
798,ENSMUSG00000005089
799,ENSMUSG00000005102
800,ENSMUSG00000005103
801,ENSMUSG00000005107
802,ENSMUSG00000005124
803,ENSMUSG00000005125
804,ENSMUSG00000005131
805,ENSMUSG00000005142
806,ENSMUSG00000005148
807,ENSMUSG00000005150
808,ENSMUSG00000005161
809,ENSMUSG00000005198
810,ENSMUSG00000005202
811,ENSMUSG00000005204
812,ENSMUSG00000005220
813,ENSMUSG00000005225
814,ENSMUSG00000005232
815,ENSMUSG00000005233
816,ENSMUSG00000005237
817,ENSMUSG00000005251
818,ENSMUSG00000005262
819,ENSMUSG00000005267
820,ENSMUSG00000005268
821,ENSMUSG00000005299
822,ENSMUSG00000005312
823,ENSMUSG00000005320
824,ENSMUSG00000005338
825,ENSMUSG00000005339
826,ENSMUSG00000005354
827,ENSMUSG00000005355
828,ENSMUSG00000005357
829,ENSMUSG00000005360
830,ENSMUSG00000005362
831,ENSMUSG00000005364
832,ENSMUSG00000005370
833,ENSMUSG00000005371
834,ENSMUSG00000005373
835,ENSMUSG00000005374
836,ENSMUSG00000005378
837,ENSMUSG00000005397
838,ENSMUSG00000005410
839,ENSMUSG00000005413
840,ENSMUSG00000005417
841,ENSMUSG00000005442
842,ENSMUSG00000005447
843,ENSMUSG00000005465
844,ENSMUSG00000005469
845,ENSMUSG00000005470
846,ENSMUSG00000005474
847,ENSMUSG00000005481
848,ENSMUSG00000005483
849,ENSMUSG00000005493
850,ENSMUSG00000005501
851,ENSMUSG00000005503
852,ENSMUSG00000005505
853,ENSMUSG00000005506
854,ENSMUSG00000005510
855,ENSMUSG00000005514
856,ENSMUSG00000005533
857,ENSMUSG00000005534
858,ENSMUSG00000005540
859,ENSMUSG00000005547
860,ENSMUSG00000005553
861,ENSMUSG00000005566
862,ENSMUSG00000005575
863,ENSMUSG00000005580
864,ENSMUSG00000005583
865,ENSMUSG00000005609
866,ENSMUSG00000005610
867,ENSMUSG00000005611
868,ENSMUSG00000005615
869,ENSMUSG00000005621
870,ENSMUSG00000005625
871,ENSMUSG00000005628
872,ENSMUSG00000005640
873,ENSMUSG00000005649
874,ENSMUSG00000005656
875,ENSMUSG00000005667
876,ENSMUSG00000005672
877,ENSMUSG00000005674
878,ENSMUSG00000005677
879,ENSMUSG00000005681
880,ENSMUSG00000005682
881,ENSMUSG00000005683
882,ENSMUSG00000005686
883,ENSMUSG00000005687
884,ENSMUSG00000005696
885,ENSMUSG00000005698
886,ENSMUSG00000005699
887,ENSMUSG00000005705
888,ENSMUSG00000005716
889,ENSMUSG00000005718
890,ENSMUSG00000005732
891,ENSMUSG00000005763
892,ENSMUSG00000005774
893,ENSMUSG00000005779
894,ENSMUSG00000005800
895,ENSMUSG00000005802
896,ENSMUSG00000005803
897,ENSMUSG00000005804
898,ENSMUSG00000005813
899,ENSMUSG00000005823
900,ENSMUSG00000005824
901,ENSMUSG00000005836
902,ENSMUSG00000005846
903,ENSMUSG00000005864
904,ENSMUSG00000005871
905,ENSMUSG00000005873
906,ENSMUSG00000005881
907,ENSMUSG00000005882
908,ENSMUSG00000005883
909,ENSMUSG00000005886
910,ENSMUSG00000005891
911,ENSMUSG00000005892
912,ENSMUSG00000005893
913,ENSMUSG00000005897
914,ENSMUSG00000005899
915,ENSMUSG00000005907
916,ENSMUSG00000005917
917,ENSMUSG00000005936
918,ENSMUSG00000005947
919,ENSMUSG00000005949
920,ENSMUSG00000005950
921,ENSMUSG00000005951
922,ENSMUSG00000005952
923,ENSMUSG00000005958
924,ENSMUSG00000005968
925,ENSMUSG00000005973
926,ENSMUSG00000005980
927,ENSMUSG00000005981
928,ENSMUSG00000005982
929,ENSMUSG00000005983
930,ENSMUSG00000005986
931,ENSMUSG00000005994
932,ENSMUSG00000006005
933,ENSMUSG00000006007
934,ENSMUSG00000006010
935,ENSMUSG00000006014
936,ENSMUSG00000006019
937,ENSMUSG00000006021
938,ENSMUSG00000006024
939,ENSMUSG00000006050
940,ENSMUSG00000006056
941,ENSMUSG00000006057
942,ENSMUSG00000006058
943,ENSMUSG00000006095
944,ENSMUSG00000006127
945,ENSMUSG00000006134
946,ENSMUSG00000006143
947,ENSMUSG00000006154
948,ENSMUSG00000006169
949,ENSMUSG00000006179
950,ENSMUSG00000006191
951,ENSMUSG00000006200
952,ENSMUSG00000006204
953,ENSMUSG00000006205
954,ENSMUSG00000006215
955,ENSMUSG00000006216
956,ENSMUSG00000006218
957,ENSMUSG00000006219
958,ENSMUSG00000006221
959,ENSMUSG00000006235
960,ENSMUSG00000006241
961,ENSMUSG00000006262
962,ENSMUSG00000006269
963,ENSMUSG00000006270
964,ENSMUSG00000006273
965,ENSMUSG00000006276
966,ENSMUSG00000006281
967,ENSMUSG00000006288
968,ENSMUSG00000006289
969,ENSMUSG00000006299
970,ENSMUSG00000006301
971,ENSMUSG00000006304
972,ENSMUSG00000006307
973,ENSMUSG00000006310
974,ENSMUSG00000006311
975,ENSMUSG00000006313
976,ENSMUSG00000006315
977,ENSMUSG00000006333
978,ENSMUSG00000006335
979,ENSMUSG00000006342
980,ENSMUSG00000006344
981,ENSMUSG00000006345
982,ENSMUSG00000006356
983,ENSMUSG00000006360
984,ENSMUSG00000006362
985,ENSMUSG00000006369
986,ENSMUSG00000006373
987,ENSMUSG00000006378
988,ENSMUSG00000006386
989,ENSMUSG00000006389
990,ENSMUSG00000006390
991,ENSMUSG00000006392
992,ENSMUSG00000006398
993,ENSMUSG00000006403
994,ENSMUSG00000006411
995,ENSMUSG00000006412
996,ENSMUSG00000006418
